sbContainerDataConstant::barcode,sbContainerDataConstant::containerDesignation,sbContainerDataConstant::containerLocation,sbContainerDataConstant::containerOwner,sbContainerDataConstant::containerSize,sbContainerDataConstant::containerTotal
*B26*,B26,328a Huestis,,10,191
*B27*,B27,328a Huestis,,10,191
*B28*,B28,328a Huestis,,10,191
*B29*,B29,328a Huestis,,10,191
*B30*,B30,328a Huestis,,10,191
*B31*,B31,328a Huestis,,10,191
*B32*,B32,328a Huestis,,10,191
*B33*,B33,328a Huestis,,10,191
*B34*,B34,328a Huestis,,10,191
*B35*,B35,328a Huestis,,10,191
*B36*,B36,328a Huestis,,10,191
*B37*,B37,328a Huestis,,10,191
*B38*,B38,328a Huestis,,10,191
*B39*,B39,328a Huestis,,10,191
*B40*,B40,328a Huestis,,10,191
*C01*,C01,328a Huestis,,20,191
*C02*,C02,328a Huestis,,20,191
*C03*,C03,328a Huestis,,20,191
*C04*,C04,328a Huestis,,20,191
*C05*,C05,328a Huestis,,20,191
*C06*,C06,328a Huestis,,20,191
*C07*,C07,328a Huestis,,20,191
*C08*,C08,328a Huestis,,20,191
*C09*,C09,328a Huestis,,20,191
*C10*,C10,328a Huestis,,20,191
*C11*,C11,328a Huestis,,20,191
*C12*,C12,328a Huestis,,20,191
*C13*,C13,328a Huestis,,30,191
*C14*,C14,328a Huestis,,30,191
*C15*,C15,328a Huestis,,30,191
*C16*,C16,328a Huestis,,30,191
*C17*,C17,328a Huestis,,30,191
*C18*,C18,328a Huestis,,30,191
*C19*,C19,328a Huestis,,30,191
*C20*,C20,328a Huestis,,30,191
*C21*,C21,328a Huestis,,30,191
*C22*,C22,328a Huestis,,30,191
*C23*,C23,328a Huestis,,30,191
*C24*,C24,328a Huestis,,30,191
*C25*,C25,328a Huestis,,30,191
*C26*,C26,328a Huestis,,30,191
*C27*,C27,328a Huestis,,30,191
*C28*,C28,328a Huestis,,30,191
*C29*,C29,328a Huestis,,30,191
*C30*,C30,328a Huestis,,30,191
*C31*,C31,328a Huestis,,30,191
*C32*,C32,328a Huestis,,30,191
*C33*,C33,328a Huestis,,30,191
*C34*,C34,328a Huestis,,30,191
*C35*,C35,328a Huestis,,30,191
*C36*,C36,328a Huestis,,30,191
*D01*,D01,328b Huestis,,10,191
*D02*,D02,328b Huestis,,10,191
*D03*,D03,328b Huestis,,10,191
*D04*,D04,328b Huestis,,10,191
*D05*,D05,328b Huestis,,10,191
*D06*,D06,328b Huestis,,10,191
*D07*,D07,328b Huestis,,10,191
*D08*,D08,328b Huestis,,10,191
*D09*,D09,328b Huestis,,10,191
*D10*,D10,328b Huestis,,10,191
*D11*,D11,328b Huestis,,10,191
*D12*,D12,328b Huestis,,10,191
*D13*,D13,328b Huestis,,10,191
*D14*,D14,328b Huestis,,10,191
*D15*,D15,328b Huestis,,10,191
*D16*,D16,328b Huestis,,10,191
*E01*,E01,328c Huestis,,10,191
*E02*,E02,328c Huestis,,10,191
*E03*,E03,328c Huestis,,10,191
*E04*,E04,328c Huestis,,10,191
*E05*,E05,328c Huestis,,10,191
*E06*,E06,328c Huestis,,10,191
*E07*,E07,328c Huestis,,10,191
*E08*,E08,328c Huestis,,10,191
*E09*,E09,328c Huestis,,10,191
*E10*,E10,328c Huestis,,10,191
*E11*,E11,328c Huestis,,10,191
*E12*,E12,328c Huestis,,10,191
*E13*,E13,328c Huestis,,10,191
*E14*,E14,328c Huestis,,10,191
*E15*,E15,328c Huestis,,10,191
*E16*,E16,328c Huestis,,10,191
*E17*,E17,328c Huestis,,10,191
*E18*,E18,328c Huestis,,10,191
*E19*,E19,328c Huestis,,10,191
*E20*,E20,328c Huestis,,10,191
*E21*,E21,328c Huestis,,10,191
*E22*,E22,328c Huestis,,10,191
*E23*,E23,328c Huestis,,10,191
*E24*,E24,328c Huestis,,10,191
*E25*,E25,328c Huestis,,10,191
*E26*,E26,328c Huestis,,10,191
*E27*,E27,328c Huestis,,10,191
*E28*,E28,328c Huestis,,10,191
*E29*,E29,328c Huestis,,10,191
*E30*,E30,328c Huestis,,10,191
*E31*,E31,328c Huestis,,10,191
*E32*,E32,328c Huestis,,10,191
*A09F17*,A09F17,328a Huestis,,1,191
*A09F18*,A09F18,328a Huestis,,1,191
*A09F19*,A09F19,328a Huestis,,1,191
*A09F20*,A09F20,328a Huestis,,1,191
*A09F21*,A09F21,328a Huestis,,1,191
*A09F22*,A09F22,328a Huestis,,1,191
*A09F23*,A09F23,328a Huestis,,1,191
*A09F24*,A09F24,328a Huestis,,1,191
*A09E17*,A09E17,328a Huestis,,1,191
*A09E18*,A09E18,328a Huestis,,1,191
*A09E19*,A09E19,328a Huestis,,1,191
*A09E20*,A09E20,328a Huestis,,1,191
*A09E21*,A09E21,328a Huestis,,1,191
*A09E22*,A09E22,328a Huestis,,1,191
*A09E23*,A09E23,328a Huestis,,1,191
*A09E24*,A09E24,328a Huestis,,1,191
*A08F17*,A08F17,328a Huestis,,1,191
*A08F18*,A08F18,328a Huestis,,1,191
*A08F19*,A08F19,328a Huestis,,1,191
*A08F20*,A08F20,328a Huestis,,1,191
*A08F21*,A08F21,328a Huestis,,1,191
*A08F22*,A08F22,328a Huestis,,1,191
*A08F23*,A08F23,328a Huestis,,1,191
*A08F24*,A08F24,328a Huestis,,1,191
*A08E17*,A08E17,328a Huestis,,1,191
*A08E18*,A08E18,328a Huestis,,1,191
*A08E19*,A08E19,328a Huestis,,1,191
*A08E20*,A08E20,328a Huestis,,1,191
*A08E21*,A08E21,328a Huestis,,1,191
*A08E22*,A08E22,328a Huestis,,1,191
*A08E23*,A08E23,328a Huestis,,1,191
*A08E24*,A08E24,328a Huestis,,1,191
*A09F17*,A09F17,,,,191
*B04B04B0*,B04B04B0,,,,191
*B40*,B40,,,,191
