"*22.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","22.00.0000","22","22","1.0019","1","1.00.0019","1.0018","1","1.00.0018","","RABBIT SLOUGH","RS","","","","","","","","","","","","MB Cross #18NOT PRESENT","","RABBIT SLOUGH ix","RS ix","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; RS by RS","","","",""
"*23.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","23.00.0000","23","23","1.002","1","1.001.002","4.0001","4","4.00.0001","","RABBIT SLOUGH/WHALE LAKE","RS/WH","","","","","","","","","","","","MB Cross # 19Location: Fish Room Cabinet 1Box #1","","RABBIT SLOUGH X WHALE LAKE","RS X WH","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F1 QTL; Whale by RS","","","",""
"*24.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","24.00.0000","24","24","1.0021","1","1.00.0021","4.0002","4","4.00.0002","","RABBIT SLOUGH/WHALE LAKE","RS/WH","","","","","","","","","","","","MB Cross #20NOT PRESENT","","RABBIT SLOUGH X WHALE LAKE","RS X WH","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Whale by RS","","","",""
"*25.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","25.00.0000","25","25","1.0023","1","1.00.0023","1.0022","1","1.00.0022","","RABBIT SLOUGH","RS","","","","","","","","","","","","MB Cross #21NOT PRESENT","","RABBIT SLOUGH ix","RS ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F1 QTL; RS by RS","","","",""
"*26.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","26.00.0000","26","26","1.0024","1","1.00.0024","4.0003","4","4.00.0003","","RABBIT SLOUGH/WHALE LAKE","RS/WH","","","","","","","","","","","","MB Cross #22Location: Fish Room Cabinet 1Box #2","","RABBIT SLOUGH X WHALE LAKE","RS X WH","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F1 QTL; Whale by RS","","","",""
"*27.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","27.00.0000","27","27","1.0025","1","1.00.0025","3.0009","3","3.00.0009","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","MB Cross #23Location: Fish room cabinet 1Box #2","","BOOT LAKE X RABBIT SLOUGH","BT X RS","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F1 QTL; Boot by RS","","","",""
"*28.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","28.00.0000","28","28","1.0026","1","1.00.0026","3.001","3","3.003.001","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","MB Cross #24Location: Fish room cabinet 1Box #2","","BOOT LAKE X RABBIT SLOUGH","BT X RS","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F1 QTL; Boot by RS","","","",""
"*29.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","29.00.0000","29","29","1.0028","1","1.00.0028","1.0027","1","1.00.0027","","RABBIT SLOUGH","RS","","","","","","","","","","","","MB Cross #25NOT PRESENT","","RABBIT SLOUGH ix","RS ix","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; RS by RS","","","",""
"*30.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","30.00.0000","30","30","1.003","1","1.001.003","1.0029","1","1.00.0029","","RABBIT SLOUGH","RS","","","","","","","","","","","","MB Cross #26NOT PRESENT","","RABBIT SLOUGH ix","RS ix","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; RS by RS","","","",""
"*31.00.0000*","6/20/1999","0","6/20/1999","20-Jun-1999","","","5402","14","5402 days","10","7/11/1999","14","31.00.0000","31","31","1.0032","1","1.00.0032","1.0031","1","1.00.0031","","RABBIT SLOUGH","RS","","","","","","","","","","","","MB Cross #27NOT PRESENT","","RABBIT SLOUGH ix","RS ix","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; RS by RS","","","",""
"*32.00.0000*","","","","wild-caught","","","","","wild-caught","","","","32.00.0000","32","32","","",".00","","",".00","Capture Details","BOOT LAKE","BT","","","","","","","","","","","","NOT PRESENT","","BOOT LAKE","BT","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","stock - Boot Lake","","","",""
"*33.00.0000*","","","","wild-caught","","","","","wild-caught","","","","33.00.0000","33","33","","",".00","","",".00","Capture Details","BEAR PAW LAKE","BP","","","","","","","","","","","","06/10/00NOT PRESENT","","BEAR PAW LAKE","BP","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","stock - Bear Paw Lake","","","",""
"*34.00.0000*","6/14/2000","0","6/14/2000","14-Jun-2000","","","5042","20","5042 days","10","7/5/2000","13","34.00.0000","34","34","32.0002","32","32.00.0002","32.0001","32","32.00.0001","","BOOT LAKE","BT","","","","","","","","","","","","MB Cross #28Location: Fish room cabinet 1Box #2","","BOOT LAKE ix","BT ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F1 QTL; Boot by RS","","","",""
"*35.00.0000*","6/14/2000","0","6/14/2000","14-Jun-2000","","","5042","20","5042 days","10","7/5/2000","13","35.00.0000","35","35","32.0004","32","32.00.0004","32.0003","32","32.00.0003","","BOOT LAKE","BT","","","","","","","","","","","","MB Cross #29NOT PRESENT","","BOOT LAKE ix","BT ix","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Boot by RS","","","",""
"*36.00.0000*","6/14/2000","0","6/14/2000","14-Jun-2000","","","5042","20","5042 days","10","7/5/2000","13","36.00.0000","36","36","32.0006","32","32.00.0006","32.0005","32","32.00.0005","","BOOT LAKE","BT","","","","","","","","","","","","MB Cross #30NOT PRESENT","","BOOT LAKE ix","BT ix","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Boot by RS","","","",""
"*37.00.0000*","6/14/2000","0","6/14/2000","14-Jun-2000","","","5042","20","5042 days","10","7/5/2000","13","37.00.0000","37","37","32.0008","32","32.00.0008","32.0007","32","32.00.0007","","BOOT LAKE","BT","","","","","","","","","","","","MB Cross #31Location: Fish room cabinet 2Box #2","","BOOT LAKE ix","BT ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F1 QTL; Boot by RS","","","",""
"*38.00.0000*","6/14/2000","0","6/14/2000","14-Jun-2000","","","5042","20","5042 days","10","7/5/2000","13","38.00.0000","38","38","32.001","32","32.002.001","32.0009","32","32.00.0009","","BOOT LAKE","BT","","","","","","","","","","","","MB Cross #32NOT PRESENT","","BOOT LAKE ix","BT ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F1 QTL; Boot by RS","","","",""
"*39.00.0000*","6/14/2000","0","6/14/2000","14-Jun-2000","","","5042","20","5042 days","10","7/5/2000","13","39.00.0000","39","39","33.0002","33","33.00.0002","33.0001","33","33.00.0001","","BEAR PAW LAKE","BP","","","","","","","","","","","","MB Cross #33Location: Fish room cabinet 1Box #2","","BEAR PAW LAKE ix","BP ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F1 QTL; Bear Paw by RS","","","",""
"*40.00.0000*","6/14/2000","0","6/14/2000","14-Jun-2000","","","5042","20","5042 days","10","7/5/2000","13","40.00.0000","40","40","33.0004","33","33.00.0004","33.0003","33","33.00.0003","","BEAR PAW LAKE","BP","","","","","","","","","","","","MB Cross #34NOT PRESENT","","BEAR PAW LAKE ix","BP ix","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Bear Paw by RS","","","",""
"*41.00.0000*","6/14/2000","0","6/14/2000","14-Jun-2000","","","5042","20","5042 days","10","7/5/2000","13","41.00.0000","41","41","32.0012","32","32.00.0012","32.0011","32","32.00.0011","","BOOT LAKE","BT","","","","","","","","","","","","MB Cross #35NOT PRESENT","","BOOT LAKE ix","BT ix","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Boot by RS","","","",""
"*42.00.0000*","6/14/2000","0","6/14/2000","14-Jun-2000","","","5042","20","5042 days","10","7/5/2000","13","42.00.0000","42","42","33.0006","33","33.00.0006","33.0005","33","33.00.0005","","BEAR PAW LAKE","BP","","","","","","","","","","","","MB Cross #36","","BEAR PAW LAKE ix","BP ix","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Bear Paw by RS","","","",""
"*43.00.0000*","6/14/2000","0","6/14/2000","14-Jun-2000","","","5042","20","5042 days","10","7/5/2000","13","43.00.0000","43","43","33.0008","33","33.00.0008","33.0007","33","33.00.0007","","BEAR PAW LAKE","BP","","","","","","","","","","","","MB Cross #37NOT PRESENT","","BEAR PAW LAKE ix","BP ix","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Bear Paw by RS","","","",""
"*44.00.0000*","6/14/2000","0","6/14/2000","14-Jun-2000","","","5042","20","5042 days","10","7/5/2000","13","44.00.0000","44","44","33.001","33","33.003.001","33.0009","33","33.00.0009","","BEAR PAW LAKE","BP","","","","","","","","","","","","MB Cross #38NOT PRESENT","","BEAR PAW LAKE ix","BP ix","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Bear Paw by RS","","","",""
"*45.00.0000*","6/14/2000","0","6/14/2000","14-Jun-2000","","","5042","20","5042 days","10","7/5/2000","13","45.00.0000","45","45","33.0012","33","33.00.0012","33.0011","33","33.00.0011","","BEAR PAW LAKE","BP","","","","","","","","","","","","MB Cross #39NOT PRESENT","","BEAR PAW LAKE ix","BP ix","[stck-dead]  error","","[stck-dead]","","error","F1 QTL; Bear Paw by RS","","","",""
"*46.00.0000*","6/8/2001","0","6/8/2001","8-Jun-2001","","","4683","26","4683 days","10","6/29/2001","12","46.00.0000","46","46","27.0003","27","27.00.0003","27.0001","27","27.00.0001","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","born at 10:30 am Sacrificed and DNA extracted on 26Apr02NOT PRESENT","","BOOT LAKE/RABBIT SLOUGH ix","BT/RS ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F2 QTL; Boot by RS","","","",""
"*47.00.0000*","6/8/2001","0","6/8/2001","8-Jun-2001","","","4683","26","4683 days","10","6/29/2001","12","47.00.0000","47","47","27.0004","27","27.00.0004","27.0001","27","27.00.0001","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","born at 10:30 amNOT PRESENT","","BOOT LAKE/RABBIT SLOUGH ix","BT/RS ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F2 QTL; Boot by RS","","","",""
"*48.00.0000*","6/12/2001","0","6/12/2001","12-Jun-2001","","","4679","22","4679 days","10","7/3/2001","12","48.00.0000","48","48","27.0004","27","27.00.0004","27.0002","27","27.00.0002","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","born at 11:46 amNOT PRESENT","","BOOT LAKE/RABBIT SLOUGH ix","BT/RS ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F2 QTL; Boot by RS","","","",""
"*49.00.0000*","7/5/2001","0","7/5/2001","5-Jul-2001","","","4656","29","4656 days","9","7/26/2001","12","49.00.0000","49","49","26.0001","26","26.00.0001","26.0003","26","26.00.0003","","RABBIT SLOUGH/WHALE LAKE","RS/WH","","","","","","","","","","","","born at 9:45 amNOT PRESENT","","RABBIT SLOUGH/WHALE LAKE ix","RS/WH ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F2 QTL; Whale by RS","","","",""
"*50.00.0000*","7/11/2001","0","7/11/2001","11-Jul-2001","","","4650","23","4650 days","9","8/1/2001","12","50.00.0000","50","50","26.0002","26","26.00.0002","26.0003","26","26.00.0003","","RABBIT SLOUGH/WHALE LAKE","RS/WH","","","","","","","","","","","","Location: Fish room cabinet 1Box #3","","RABBIT SLOUGH/WHALE LAKE ix","RS/WH ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F2 QTL; Whale by RS","","","",""
"*51.00.0000*","7/17/2001","0","7/17/2001","17-Jul-2001","","","4644","17","4644 days","9","8/7/2001","12","51.00.0000","51","51","21.0002","21","21.00.0002","21.0003","21","21.00.0003","","BEAR PAW LAKE/RABBIT SLOUGH","BP/RS","","","","","","","","","","","","found 17 July 2001NOT PRESENT","","BEAR PAW LAKE/RABBIT SLOUGH ix","BP/RS ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F2 QTL; Bear Paw by RS","","","",""
"*52.00.0000*","8/6/2001","0","8/6/2001","6-Aug-2001","","","4624","28","4624 days","8","8/27/2001","12","52.00.0000","52","52","21.0001","21","21.00.0001","21.0003","21","21.00.0003","","BEAR PAW LAKE/RABBIT SLOUGH","BP/RS","","","","","","","","","","","","fertilized at 1:25 pmNOT PRESENT","","BEAR PAW LAKE/RABBIT SLOUGH ix","BP/RS ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F2 QTL; Bear Paw by RS","","","",""
"*53.00.0000*","6/7/2001","0","6/7/2001","7-Jun-2001","","","4684","27","4684 days","10","6/28/2001","12","53.00.0000","53","53","8.0001","8","8.00.0001","8.0002","8","8.00.0002","","BOOT LAKE/RABBIT SLOUGH","BT/RS","","","","","","","","","","","","NOT PRESENT","","BOOT LAKE/RABBIT SLOUGH ix","BT/RS ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","F2 QTL; Boot by RS","","","",""
"*54.00.0000*","","","","wild-caught","","","","","wild-caught","","","","54.00.0000","54","54","","",".00","","",".00","Capture Details","RABBIT SLOUGH","RS","","","","","","","","","","","","NOT PRESENT","","RABBIT SLOUGH","RS","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","stock - Rabbit Slough","","","",""
"*55.00.0000*","","","","wild-caught","","","","","wild-caught","","","","55.00.0000","55","55","","",".00","","",".00","Capture Details","BEAR PAW LAKE","BP","","","","","","","","","","","","Location: Fish room cabinet 1Box #3","","BEAR PAW LAKE","BP","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","stock - Bear Paw Lake","","","",""
"*56.00.0000*","","","","wild-caught","","","","","wild-caught","","","","56.00.0000","56","56","","",".00","","",".00","Capture Details","BOOT LAKE","BT","","","","","","","","","","","","Location: Fish room cabinet 1Box #3","","BOOT LAKE","BT","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","stock - Boot Lake","","","",""
"*57.00.0000*","","","","wild-caught","","","","","wild-caught","","","","57.00.0000","57","57","","",".00","","",".00","Capture Details","WHALE LAKE","WH","","","","","","","","","","","","Location: Fish room cabinet 1Box #3","","WHALE LAKE","WH","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","stock - Whale Lake","","","",""
"*58.00.0000*","","","","wild-caught","","","","","wild-caught","","","","58.00.0000","58","58","","",".00","","",".00","Capture Details","SILTCOOS","SLT","","","","","","","","","","","","NOT PRESENT","","SILTCOOS","SLT","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","stock - Siltcoos","","","",""
"*59.00.0000*","","","","wild-caught","","","","","wild-caught","","","","59.00.0000","59","59","","",".00","","",".00","Capture Details","AIROLO PUNGITIUS","ARPP","","","","","","","","","","","","Stained6 Fish in Jar","","AIROLO PUNGITIUS","ARPP","[stck-dead]  error","","[stck-dead]","","error","stock - Airolo Pungitius","","","",""
"*60.00.0000*","","","","wild-caught","","","","","wild-caught","","","","60.00.0000","60","60","","",".00","","",".00","Capture Details","STEPHEN PUNGITIUS","STPPP","","","","","","","","","","","","Location: Fish room cabinet 1Box #3","","STEPHEN PUNGITIUS","STPPP","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","stock - Stephen Pungitius","","","",""
"*61.00.0000*","","","","wild-caught","","","","","wild-caught","","","","61.00.0000","61","61","","",".00","","",".00","Capture Details","SUTTON CREEK","SUCR","","","","","","","","","","","","NOT PRESENT","","SUTTON CREEK","SUCR","[stck-dead]  error","","[stck-dead]","","error","stock - Sutton Creek","","","",""
"*62.00.0000*","4/1/2001","0","4/1/2001","1-Apr-2001","","","4751","3","4751 days","0","4/22/2001","13","62.00.0000","62","62","61","61",".0061","58","58",".0058","","SILTCOOS/SUTTON CREEK","SLT/SUCR","","","","","","","","","","","","-fertilized at 4:00 pm-individual parents unknownNOT PRESENT","","SILTCOOS X SUTTON CREEK","SLT X SUCR","[stck-dead]  error","","[stck-dead]","","error","Stock - Siltcoos by Sutton","","","",""
"*63.00.0000*","5/31/2001","0","5/31/2001","31-May-2001","","","4691","3","4691 days","11","6/21/2001","12","63.00.0000","63","63","58","58",".0058","58","58",".0058","","SILTCOOS","SLT","","","","","","","","","","","","- fertilized at 3:30 pm- individual parents unknownNOT PRESENT","","SILTCOOS ix","SLT ix","[stck-dead]  error","","[stck-dead]","","error","stock - Siltcoos","","","",""
"*64.00.0000*","6/8/2001","0","6/8/2001","8-Jun-2001","","","4683","26","4683 days","10","6/29/2001","12","64.00.0000","64","64","58","58",".0058","58","58",".0058","","SILTCOOS","SLT","","","","","","","","","","","","- fertilized at 9:45 am- individual parents unknownNOT PRESENT","","SILTCOOS ix","SLT ix","error","","","","error","stock - Siltcoos","","","",""
"*65.00.0000*","6/18/2001","0","6/18/2001","18-Jun-2001","","","4673","16","4673 days","10","7/9/2001","12","65.00.0000","65","65","57","57",".0057","57","57",".0057","","WHALE LAKE","WH","","","","","","","","","","","","- born at 3 am- mass cross--individual parents unknownLocation: Fish room cabinet 1Box #3","","WHALE LAKE ix","WH ix","[indv-dead]","","","","[indv-dead]","complementation cross","","","",""
"*66.00.0000*","6/18/2001","0","6/18/2001","18-Jun-2001","","","4673","16","4673 days","10","7/9/2001","12","66.00.0000","66","66","56","56",".0056","55","55",".0055","","BEAR PAW LAKE/BOOT LAKE","BP/BT","","","","","","","","","","","","mass cross-- individual parents unknownLocation: Fish room cabinet 1Box #4 1-120Box #5 120+","","BEAR PAW LAKE X BOOT LAKE","BP X BT","[indv-dead]","","","","[indv-dead]","complementation cross","","","",""
"*67.00.0000*","6/18/2001","0","6/18/2001","18-Jun-2001","","","4673","16","4673 days","10","7/9/2001","12","67.00.0000","67","67","55","55",".0055","56","56",".0056","","BEAR PAW LAKE/BOOT LAKE","BP/BT","","","","","","","","","","","","mass cross--individual parents unknownLocation: Fish room cabinet 1Box #6","","BEAR PAW LAKE X BOOT LAKE","BP X BT","[indv-dead]","","","","[indv-dead]","complementation cross","","","",""
