sbGeneticsConstant::captureDate,sbGeneticsConstant::identification,sbGeneticsConstant::materialTransferAgreement,sbGeneticsConstant::mutantAllele,sbGeneticsConstant::phenotype,sbGeneticsConstant::researcherCommentsGenetics,sbGeneticsConstant::researcherInitials,sbGeneticsConstant::source,sbGeneticsConstant::species,sbGeneticsConstant::transgenes
06/10/2001,stock - Airolo Pungitius,,,,,,wild;  Airolo Lake,Pungitius pungitius
06/10/2001,stock - Stephen Pungitius,,,,,,wild;  Stephen Lake,Pungitius pungitius
04/01/2001,stock - Sutton Creek,,,,,,wild;  Sutton Creek,Gasterosteus aculeatus
,Stock - Siltcoos by Sutton,,,,"-fertilized at 4:00 pm
-individual parents unknown",,,Gasterosteus aculeatus
,stock - Siltcoos,,,,"- fertilized at 3:30 pm
- individual parents unknown",,,Gasterosteus aculeatus
,stock - Siltcoos,,,,"- fertilized at 9:45 am
- individual parents unknown",,,Gasterosteus aculeatus
,complementation cross,,,,"- born at 3 am
- mass cross--individual parents unknown
",,,Gasterosteus aculeatus
,complementation cross,,,,mass cross-- individual parents unknown,,,Gasterosteus aculeatus
,complementation cross,,,,mass cross--individual parents unknown,,,Gasterosteus aculeatus
,complementation cross,,,,mass cross-- individual parents unknown,,,Gasterosteus aculeatus
,complementation cross,,,,mass cross-- individual parents unknown,,,Gasterosteus aculeatus
,stock - Siltcoos,,,,Four Females,,,Gasterosteus aculeatus
,In situ,,,,"1 male and 1 female
All fish will be fixed on 23Feb02",,,
,In situ,,,,1 male and 1 female,,,Gasterosteus aculeatus
,In situ,,,,1 male and 1 female,,,Gasterosteus aculeatus
,In situ,,,,1 male and 4 females,,,Gasterosteus aculeatus
,,,,,2 males and 2 females,,,Gasterosteus aculeatus
,In situ,,,,1 male and 1 female,,,Gasterosteus aculeatus
,stock - Siltcoos,,,,1 male and 1 female,,,Gasterosteus aculeatus
,stock - Siltcoos,,,,Mike Bell Cross #4,,,Gasterosteus aculeatus
,"alcian
",,,,1 male and 1 female,,,Gasterosteus aculeatus
,stock - Siltcoos,,,,1 male and 1 female,,,Gasterosteus aculeatus
,F1 QTL; Bear Paw by RS,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,
,stock - Siltcoos,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,,,,Gasterosteus aculeatus
,F2 QTL; Boot by RS,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,,,,Gasterosteus aculeatus
,F1 QTL; Boot by RS,,,,Mike Bell Cross #4,,,Gasterosteus aculeatus
