sbLinesConstant::captured,sbLinesConstant::captureDisplay,sbLinesConstant::captureKey,sbLinesConstant::lineComments,sbLinesConstant::lineName,sbLinesConstant::lineNameAbbr,sbLinesConstant::lineSpecies,sbLinesConstant::lineStatus,sbLinesConstant::lineStatusDisplay,sbLinesConstant::phenotypeDescription,sbLinesConstant::phenotypePicAnnotation,sbLinesConstant::researcherInitials,sbLinesConstant::storedLineName,sbLinesConstant::storedLineNameAbbr
Yes,capture details,sbL11815Yes,,MINER'S CREEK,MC,,,MINER'S CREEK is an alias for .
Yes,capture details,sbL11816Yes,,DEAN CREEK,DEAN CRK,,,DEAN CREEK is an alias for .
Yes,capture details,sbL11817Yes,,CHARLESTON BAY,CHARL BY,,,CHARLESTON BAY is an alias for .
Yes,capture details,sbL11818Yes,,CUSHMAN SLOUGH,CUSH SLGH,,,CUSHMAN SLOUGH is an alias for .
No,,sbL11819Yes,,"EEL CREEK, LAKESIDE OREGON/RABBIT SLOUGH",EEL CREEK OREGON/RS,,,"EEL CREEK, LAKESIDE OREGON/RABBIT SLOUGH is an alias for ."
No,,sbL11820Yes,,"BEAR PAW LAKE/PONY CREEK  RESERVIOR, COOS BAY OREGON",BP/PCRU,,,"BEAR PAW LAKE/PONY CREEK  RESERVIOR, COOS BAY OREGON is an alias for ."
No,,sbL11821Yes,,PCS2 + GFP,PC GFP,,,PCS2 + GFP is an alias for .
No,,sbL11822Yes,,"PONY CREEK  RESERVIOR, COOS BAY OREGON/RABBIT SLOUGH",PCRU/RS,,,"PONY CREEK  RESERVIOR, COOS BAY OREGON/RABBIT SLOUGH is an alias for ."
No,,sbL11823Yes,,"BOOT LAKE/EEL CREEK, LAKESIDE OREGON",BT/EEL CREEK OREGON,,,"BOOT LAKE/EEL CREEK, LAKESIDE OREGON is an alias for ."
No,,sbL11824Yes,,"BOOT LAKE/PONY CREEK  RESERVIOR, COOS BAY OREGON",BT/PCRU,,,"BOOT LAKE/PONY CREEK  RESERVIOR, COOS BAY OREGON is an alias for ."
Yes,capture details,sbL11825Yes,Crooked River at Prineville,CROOKED RIVER,CRKD RVR,Gasterosteus aculeatus,,CROOKED RIVER is an alias for .
Yes,capture details,sbL11826Yes,Deschutes River at Sunriver Marina,DESCHUTES RIVER,DSCHTS RVR,Gasterosteus aculeatus,,DESCHUTES RIVER is an alias for .
Yes,capture details,sbL11827Yes,,CRANE PRAIRIE RESERVOIR,CRANE PRAIRIE,,,CRANE PRAIRIE RESERVOIR is an alias for .
Yes,capture details,sbL11828Yes,,WICKIUP RESERVOIR,WICKIUP RSVR,,,WICKIUP RESERVOIR is an alias for .
Yes,capture details,sbL11829Yes,,PAULINA LAKE,PAULINA LK,,,PAULINA LAKE is an alias for .
Yes,capture details,sbL11830Yes,,HIGH RIDGE LAKE,HIGH RIDGE LK,Gasterosteus aculeatus,,HIGH RIDGE LAKE is an alias for .
Yes,capture details,sbL11831Yes,Purchased from Gulf Coast Specimens 2/6/08,PIPEFISH ,PIPEFISH ,Syngnathus scovelli,,PIPEFISH  is an alias for .
Yes,capture details,sbL11832Yes,collected on 1/30/09 by Taylor and James,RIVERBEND,RVRBND,Gasterosteus aculeatus,,RIVERBEND is an alias for .
Yes,capture details,sbL11833Yes,,LAZY LAKE,LAZY LAKE,Gasterosteus aculeatus,,LAZY LAKE is an alias for .
No,,sbL11834Yes,,"EEL CREEK, LAKESIDE OREGON/[EEL CREEK, LAKESIDE OREGON/TENMILE CREEK, LAKESIDE OREGON]",EEL CREEK OREGON/[EEL CREEK OREGON/TENMILE CREEK],,,"EEL CREEK, LAKESIDE OREGON/[EEL CREEK, LAKESIDE OREGON/TENMILE CREEK, LAKESIDE OREGON] is an alias for ."
Yes,capture details,sbL11835Yes,,LONG LAKE,LONG LAKE,Gasterosteus aculeatus,,LONG LAKE is an alias for .
Yes,capture details,sbL11836Yes,,BENKA LAKE - REGION 5,BENKA LAKE REGION 5,Gasterosteus aculeatus,,BENKA LAKE - REGION 5 is an alias for .
No,,sbL11837Yes,,"SALMON CREEK SLOUGH, KENAI, AK",SALMON CREEK SLOUGH,Gasterosteus aculeatus,,"SALMON CREEK SLOUGH, KENAI, AK is an alias for ."
No,,sbL11838Yes,,"HIDDEN LAKE, KENAI, AK",HIDDEN LAKE,Gasterosteus aculeatus,,"HIDDEN LAKE, KENAI, AK is an alias for ."
No,,sbL11839Yes,,GEORGINA LAKE,GEORGINA LAKE,Gasterosteus aculeatus,,GEORGINA LAKE is an alias for .
Yes,capture details,sbL11840Yes,,ARROW LAKE,ARROW LAKE,Gasterosteus aculeatus,,ARROW LAKE is an alias for .
Yes,capture details,sbL11841Yes,,BENKA LAKE - REGION 3,BENKA LAKE REGION 3,Gasterosteus aculeatus,,BENKA LAKE - REGION 3 is an alias for .
No,,sbL11842Yes,,"LITTLE BEAVER LAKE, MAT-SU, AK",LITTLE BEAVER LAKE,Gasterosteus aculeatus,,"LITTLE BEAVER LAKE, MAT-SU, AK is an alias for ."
No,,sbL11843Yes,,"STORMY LAKE, KENAI, AK",STORMY LAKE,Gasterosteus aculeatus,,"STORMY LAKE, KENAI, AK is an alias for ."
No,,sbL11844Yes,,"SUNRIVER, OR",SUNRIVER,Gasterosteus aculeatus,,"SUNRIVER, OR is an alias for ."
Yes,capture details,sbL11845Yes,,BENKA LAKE - REGION 6,BENKA LAKE REGION 6,Gasterosteus aculeatus,,BENKA LAKE - REGION 6 is an alias for .
Yes,capture details,sbL11846Yes,,"MEADOW CREEK, MAT-SU, AK",MEADOW CREEK,Gasterosteus aculeatus,,"MEADOW CREEK, MAT-SU, AK is an alias for ."
No,,sbL11847Yes,,"Y LAKE, MAT-SU, AK",Y LAKE,Gasterosteus aculeatus,,"Y LAKE, MAT-SU, AK is an alias for ."
No,,sbL11848Yes,,"NESUATN HEGRENES, ICELAND",NESUATN HEGRENES,Gasterosteus aculeatus,,"NESUATN HEGRENES, ICELAND is an alias for ."
Yes,capture details,sbL11849Yes,,"CORCORAN LAKE, MAT-SU, AK",CORCORAN LAKE,Gasterosteus aculeatus,,"CORCORAN LAKE, MAT-SU, AK is an alias for ."
No,,sbL11850Yes,,"UPPER COHOE LAKE, KENAI, AK",UPPER COHOE LAKE,Gasterosteus aculeatus,,"UPPER COHOE LAKE, KENAI, AK is an alias for ."
