Yes	capture details	sbL9470Yes		MILLRACE SOUTH	MRS	Gasterosteus aculeatus	1	MILLRACE SOUTH is currently used in this database.				MILLRACE SOUTH	MRS		3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL9470	sbL9470	sbLp9470/	sbLw9470	sbLw9470	301	13875	11	0	8/5/2002	12:08:39 PM	2/24/2014	4:13:23 PM	9470	MRS	MILLRACE SOUTH		
Yes	capture details	sbL9471Yes		MILLRACE NORTH	MRN	Gasterosteus aculeatus	1	MILLRACE NORTH is currently used in this database.				MILLRACE NORTH	MRN		3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL9471	sbL9471	sbLp9471/	sbLw9471	sbLw9471	301	13875	12	0	8/5/2002	12:10:23 PM	2/24/2014	4:13:23 PM	9471	MRN	MILLRACE NORTH		
Yes	capture details	sbL9472Yes		SOUTH SLOUGH	SSL	Gasterosteus aculeatus	1	SOUTH SLOUGH is currently used in this database.				SOUTH SLOUGH	SSL		3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL9472	sbL9472	sbLp9472/	sbLw9472	sbLw9472	301	13875	13	0	8/5/2002	12:12:06 PM	2/24/2014	4:13:23 PM	9472	SSL	SOUTH SLOUGH		
Yes	capture details	sbL9490Yes	Chuck caught these fish with Rebecca	CUSHMAN CREEK	CUCR	Gasterosteus aculeatus	1	CUSHMAN CREEK is currently used in this database.				CUSHMAN CREEK	CUCR		3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL9490	sbL9490	sbLp9490/	sbLw9490	sbLw9490	301	13875	14	0	11/20/2002	10:24:47 AM	2/24/2014	4:13:23 PM	9490	CUCR	CUSHMAN CREEK		
Yes	capture details	sbL9516Yes	Chuck caught these in traps set at Hill's creek road.  A few died in transit and were fixed	CUSHMAN@HILL'S RD	CUHR	Gasterosteus aculeatus	1	CUSHMAN@HILL'S RD is currently used in this database.				CUSHMAN@HILL'S RD	CUHR		3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL9516	sbL9516	sbLp9516/	sbLw9516	sbLw9516	301	13875	15	0	1/14/2003	5:12:22 PM	2/24/2014	4:13:24 PM	9516	CUHR	CUSHMAN@HILL'S RD		
Yes	capture details	sbL9517Yes	Chuck caught these at mile 4 on Cushman Creek	CUSHMAN@MILE 4	CMCR4	Gasterosteus aculeatus	1	CUSHMAN@MILE 4 is currently used in this database.				CUSHMAN@MILE 4	CUM4		3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL9517	sbL9517	sbLp9517/	sbLw9517	sbLw9517	301	13875	16	0	1/14/2003	5:15:55 PM	2/24/2014	4:13:24 PM	9517	CUM4	CUSHMAN@MILE 4		
Yes	capture details	sbL11543Yes	Shipped by Mike Bell on 14June03	MUD LAKE PUNGITIUS	MUPP	Pungitius pungitius	1	MUD LAKE PUNGITIUS is currently used in this database.				MUD LAKE PUNGITIUS	MUPP		3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11543	sbL11543	sbLp11543/	sbLw11543	sbLw11543	301	13875	17	0	6/16/2003	5:11:18 PM	2/24/2014	4:13:24 PM	11543	MUPP	MUD LAKE PUNGITIUS		
No		sbL11638Yes	This is a mass crossing between many different families of fish. (RS/BT/BP/WH/ST/)	EXTREME HYBRID	EXTHYB	Gasterosteus aculeatus	1	EXTREME HYBRID is currently used in this database.							3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11638	sbL11638	sbLp11731/	sbLw11638	sbLw11638	301	13875	18	0	10/15/2003	3:03:15 PM	2/24/2014	4:13:24 PM	11638	EXTHYB	EXTHYB		
No		sbL11708Yes	Cross between boot and rabbit slough for Alex & Thom's research. Female was returned to tank	BOOT LAKE/RABBIT SLOUGH	BT/RS		1	BOOT LAKE/RABBIT SLOUGH is currently used in this database.							3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11708	sbL7820/sbL7964/	sbL7820/sbL7964/	sbL7820	sbL7964	301	13875	19	0	1/27/2004	9:41:56 PM	2/24/2014	4:13:24 PM	11708	BT/GH	BOOT LAKE/GLENN HIGHWAY	BOOT LAKE/RABBIT SLOUGH	BT/RS
No		sbL11709Yes		BEAR PAW LAKE/RABBIT SLOUGH	BP/RS		1	BEAR PAW LAKE/RABBIT SLOUGH is currently used in this database.							3	sbL7819	/sbL7819/sbL11708/	sbL7820	9	sbS11736			21	26	sbL11774	sbLp9517/	sbL7819/sbL7964/	sbL9517	167.0011	2							CMCR4/lineAbbreviationError	CUSHMAN@MILE 4/lineNameError				admin	Administrator	dbase admin	2		line name	1		sbL11709	sbL7819/sbL7964/	sbL7819/sbL7964/	sbLw7819	sbLw7817	301	13875	20	0	1/27/2004	9:49:09 PM	2/24/2014	4:13:24 PM	11709	BP/GH	BEAR PAW/GLENN HIGHWAY	BEAR PAW LAKE/GLENN HIGHWAY	BP/GH
